job1001	9714	6	14130705765	402311	111860
job1001	17848	29	4636686330	42962122422	12124174
job1002	9722	8	14130705765	543368	149267
job1002	17870	22	1592661364	23170	704
job101	4163	2	18993455034	19566109245	4957697462
job1010	9763	12	14130705765	342614	96346
job1013	18277	37	1595382866	987712415	12564910
job1014	9785	9	7022982359	352305	95615
job1016	9788	1	14130705765	423635	117595
job102	4179	16	1067970069	170106575	32561328
job1022	9825	2	14130705765	228180	64418
job1023	9827	2	14130705765	234456	66698
job1024	9831	4	14130705765	51765	14380
job1028	9844	2	14130705765	458021	126514
job1040	9898	4	28312035306	484878	138358
job1043	19156	33	4767805520	0	978637697
job1047	19215	29	922017833	3681227883	1143272749
job1048	9932	4	14130705765	475669	130988
job1048	19264	49	1070511750	4171586368	1347648773
job1049	9935	3	7022982359	557242	148572
job1051	9940	3	28312035306	527285	146627
job1058	9970	7	14130705765	176523	50620
job106	4247	23	4589781134	0	117485
job1072	19960	47	11879807756	44239086	28
job1073	10030	2	7022982359	320065	83844
job1074	10032	2	7022982359	346822	92762
job1078	20092	46	9000423476	21755906474	599277957
job109	4309	28	2125935765	10103332422	2350134520
job1090	10088	6	28312035306	221032	64352
job1097	10125	8	28312035306	228067	67073
job1098	20709	48	599276687	346961221	8700890
job11	192	3	11375250496	11662951852	3081449939
job1104	21110	5	4306232951	4035518803	709291504
job1105	10160	5	28312035306	821316	230220
job1107	10163	2	28312035306	412851	118690
job1112	21325	30	11879807756	3430054	27
job1115	10207	6	7022982359	439762	116750
job1118	21575	74	11879807756	42929227	13200765
job1123	21616	1	18309664182	0	60013196
job1128	10282	10	14130705765	483940	134381
job1140	10383	4	28312035306	189781	55942
job1147	10424	14	28312035306	694773	195839
job115	4504	35	1985783420	2226671516	295632499
job1150	10444	1	14130705765	320772	90715
job1163	10507	1	8483121252	0	30104055
job12	202	10	2396169152	0	276235472
job1218	10968	52	2505926597	0	1044566337
job1222	22180	1	18309664182	0	4999365
job1224	22185	2	4374292216	10482232652	10434495317
job124	4711	31	2745581591	13403441298	2631449304
job1245	11456	56	5268717087	912088	288670
job1246	11568	112	21532136141	52097962505	10366892600
job1249	11601	13	5268717087	912088	288670
job1256	11815	14	5268717087	902937	289317
job127	1994	5	19022227170	19503565573	5153420063
job1278	12298	46	6187324710	16412244453	5405125
job1279	12306	8	11534463652	10808050692	1685285646
job1283	12408	20	1066442855	0	453610496
job129	2009	2	40971734696	0	7473986165
job1297	22596	7	18309664182	0	2430557
job1299	12791	13	21090278850	16328467098	5337160
job13	205	3	38995926284	0	50800
job130	2010	1	4062470900	2227879264	487752809
job1306	12807	2	1685284122	12680966012	586953
job131	2011	1	3572255301	0	495025365
job132	2011	0	11312069563	0	1148395156
job1328	13134	10	18737456350	0	292106775
job133	2012	1	14142849827	0	1898155348
job1336	13235	58	864030194	1644181213	57605833
job1339	22786	3	18309664182	0	5058936
job134	2015	3	9327048303	0	2323840608
job135	2017	2	4902821275	0	565350646
job1359	13577	11	23695852053	0	660694
job136	2020	3	3062713009	0	499566490
job1363	13623	1	18738239268	46625737417	9406609407
job137	4997	7	676965742	0	74124211
job1370	13745	30	3212526353	8624094901	3244209778
job1387	22945	1	18309664182	0	3795464
job140	2043	7	4140867806	0	904486232
job1414	23081	10	18309664182	0	1113288
job1426	14577	2	19371246257	19875866124	5410580751
job1428	14599	7	1749115747	0	1615209459
job1447	14774	7	536997440	737	293
job147	5066	2	18972363063	19544126831	4956446918
job1482	23603	2	18309664182	0	9023586
job151	5115	7	14035149712	3933199675	72342569
job1510	23798	1	18309664182	0	1420407
job1524	24009	3	30000000401	30762109707	8307120091
job1543	15646	10	2116125775	9297919169	1849816924
job1555	24392	2	18309664182	0	8636248
job1577	24513	1	18309664182	0	25813980
job1603	24767	32	18309664182	0	3407804
job1614	24852	14	3567827283	9444236862	3236253
job1639	24961	4	18309664182	0	3700773
job1645	16541	3	1849816543	1166261481	52802494
job165	5311	21	5318589521	7216878011	1648681610
job166	2573	0	7382490585	0	1496502587
job1661	16651	1	1566128962	0	460523375
job1662	16652	1	16168132464	0	188010197
job1663	16653	1	12366025862	13105144888	905549124
job1664	25098	13	18309664182	0	2172567
job1668	25143	3	1028175282	177689	7393
job1671	16704	5	1180389206	0	300489119
job1672	16705	1	1180389206	0	16399999
job1673	16705	0	14836432945	0	168310107
job1674	16707	2	12036443441	12448292274	830104924
job1675	25217	10	40181486810	16590160	19850
job1677	25239	3	11425327211	11740801788	3097462778
job1678	25249	10	4151079554	5708400347	1086377880
job1679	25252	3	40948602294	13480737652	56251
job1680	25269	17	40181486810	860763832	1221790
job1685	25376	26	738980390	6005199282	363
job1686	16803	1	1849816543	1362795850	32668999
job1688	25384	1	814016671	6143292784	366
job17	1128	16	10274791099	13024975762	3600817163
job17	289	4	2513586060	0	1048291032
job1700	25517	8	2268025677	3788578499	247
job1702	16918	5	2738552271	0	993140296
job1702	25546	7	2268025677	3567109964	247
job1704	25649	27	4703248593	1824864381	19990189
job1704	16948	17	2639714264	0	881196557
job1706	25727	7	3055143838	4774528424	248
job1710	17057	12	970401286	4909167586	1041774055
job1711	17057	0	10486024382	21689174693	4265273649
job1711	25848	12	6046305955	2949927843	539965943
job1712	17078	21	1849816543	905410109	47102718
job1714	25857	8	3471359571	302655099	247
job1714	17115	12	1085248257	5594100982	1164109624
job1715	25858	1	3471359571	451413280	1410
job1719	25902	11	53371578782	293288	291625
job1728	17293	4	10233586064	12420834638	2869453631
job1729	26042	57	8670177087	439064	436597
