job0	49	49	740773	2339561	627471
job1	101	52	736346	1700537	432269
job2	122	21	267631	594312	233549
job3	197	75	233422	42	37
job4	208	11	3623279	0	9838062
job5	349	141	233422	324968	10974
job6	373	24	2497901	0	551304
job7	379	6	233422	256459	8835
job8	463	84	2193083	2660213	560397
job9	487	24	1010097	2369060	968271
job10	497	10	19555	0	41471
job11	609	112	968144	41	35
job12	666	57	968144	2326546	14369
job13	698	32	968144	5072	2411
job14	724	26	16526	0	34635
job15	930	206	62032	110249	49133
job16	1112	182	49006	41	37
job17	1128	16	10274791099	13024975762	3600817163
job18	1180	52	49006	57406	11871
job19	1185	5	4776464612	2744661563	1084547
job20	1187	2	4228	8456	127
job21	1214	27	49006	50728	12181
job22	1234	20	0	0	127
job23	1262	28	23798	0	49034
job24	1285	23	0	0	127
job25	1420	135	23042116	44795750	71684305
job26	1453	33	1083912	4761106	804562
job27	1496	43	804435	7474262	804562
job28	1525	29	160296	314626	136937
job29	1665	140	136810	40	36
job30	1669	4	136810	310392	19414
job31	1700	31	1043799029	3220465724	2645916
job32	1725	25	136810	817	699
job33	1746	21	19859	0	41738
job34	1856	110	11310	0	18722926301
job35	1974	118	78	0	4162032
job36	1975	1	106	0	271001141
job37	1975	0	753	0	9178203796
job38	1976	1	53416	0	85899343844
job39	1977	1	9416	0	8826003635
job40	1981	4	395	0	25803030649
job41	2181	200	126	0	0
job42	2228	47	359	0	2170182507
job43	2281	53	69563889	70214203	20904794
job44	2323	42	250	0	344553539
job45	2647	324	584545	1263421	541810
job46	2684	37	1212963	4926	32
job47	2752	68	541683	41	36
job48	2793	41	541683	1212479	11407
job49	2826	33	541683	25536	3859
job50	2856	30	15012	0	31430
job51	2863	7	269966	547707	239382
job52	2872	9	2645720	5251435	8599609
job53	2876	4	78	0	993740
job54	2877	1	768	0	15867313506
job55	2877	0	251	0	1323020641
job56	2878	1	62	0	1000000339
job57	2879	1	53416	0	85899346071
job58	2924	45	239255	302794	9329
job59	2928	4	62	0	1000000897
job60	2977	49	62	0	1000000558
job61	3054	77	62	0	1000000142
job62	3092	38	62	0	1000000109
job63	3137	45	62	0	1000000253
job64	3171	34	62	0	1000000745
job65	3174	3	500	0	9225011268
job66	3213	39	62	0	1000000514
job67	3263	50	62	0	1000000146
job68	3316	53	62	0	1000000215
job69	3352	36	10274791099	0	151953102
job70	3392	40	62	0	1000000326
job71	3418	26	1008887	0	883964
job72	3450	32	62	0	1000000157
job73	3475	25	176	0	3832991523
job74	3476	1	768	0	18031673303
job75	3520	44	62	0	1000000373
job76	3570	50	2497901	0	2193083
job77	3571	1	62	0	1000000790
job78	3601	30	8602	0	307480610
job79	3630	29	62	0	1000000379
job80	3646	16	80	0	532676639
job81	3678	32	62	0	1000000213
job82	3719	41	51686	0	3237843370
job83	3747	28	10240	0	286779179
job84	3759	12	1056281867	0	376156252
job85	3813	54	392811075	1535698684	643411396
job86	3860	47	188	0	2624815111
job87	3860	0	86	0	1304624600
job88	3868	8	10240	0	112459255
job89	3873	5	376154474	1661392121	395448468
job90	3889	16	51686	0	3405054531
job91	3904	15	98	0	243826604
job92	3958	54	8688	0	407360797
job93	4006	48	21233	0	7023
job94	4046	40	51686	0	3179205741
job95	4102	56	76755	0	4761
job96	4139	37	105068	230384	91393
job97	4146	7	5131191310	0	2125941353
